FQDNS,Status Code,Last Modified,Status,Redirect URL,Title 1,Meta Description 1 ,H2-1,H2-2,Meta Refresh 1,H1-2
https://qrtag.fr/,301,,Moved Permanently,http://sbedirect.fr/,,,,,,
https://sh.st/,301,,Moved Permanently,https://shorte.st/,,,,,,
https://sharein.com/,301,,Moved Permanently,https://www.sharein.com/,,,,,,
https://skr.sk/,301,,Moved Permanently,http://ww2.skr.sk/,,,,,,
https://tcrn.ch/,301,,Moved Permanently,http://www.techcrunch.com/,,,,,,
https://tny.cz/,301,,Moved Permanently,http://pasted.co/,,,,,,
https://urls.fr/,301,,Moved Permanently,http://urls.fr/,,,,,,
https://utfg.sk/,301,,Moved Permanently,http://www.utfg.sk/,,,,,,
https://v-os.net/,301,,Moved Permanently,https://www.omniture.com/,,,,,,
https://vur.me/,301,,Moved Permanently,https://viralurl.com/,,,,,,
https://web.utm.io//,301,,Moved Permanently,https://web.utm.io/,,,,,,
https://wtfthis.me/,301,,Moved Permanently,http://bitly.com/a/feelings,,,,,,
https://qr.ae,301,,Moved Permanently,https://www.quora.com/Quoras-Technical-Infrastructure-What-is-http-qr-ae/answer/Tom-Cook,,,,,,
https://x2c.eu/,301,,Moved Permanently,https://www.x2com.be/,,,,,,
https://xua.me/,301,,Moved Permanently,https://www.xua.me/,,,,,,
https://yagoa.fr/,301,,Moved Permanently,https://www.yagoa.fr/,,,,,,
https://yaythis.me/,301,,Moved Permanently,http://bitly.com/a/feelings,,,,,,
https://yeca.eu/,301,,Moved Permanently,http://www.yeca.pro/,,,,,,
https://yerl.org/,301,,Moved Permanently,https://yerl.org/public,,,,,,
https://zyva.org/,301,,Moved Permanently,https://undeveloped.com/buy-domain/zyva.org?redirected=true&tld=org,,,,,,
https://6fr.ru/,302,,Moved Temporarily,http://6fr.ru/,,,,,,
https://a.co/,302,,Found,http://www.amazon.com/,,,,,,
https://bc.vc/,302,,Moved Temporarily,http://bc.vc/,,,,,,
https://bit.ly/,302,,Moved Temporarily,https://bitly.com/,,,,,,
https://ble.pl/,302,,Found,https://itunes.apple.com/pl/app/adblock/id691121579?mt=8&at=11lbaA,,,,,,
https://cbrogan.me/,302,,Found,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=cbrogan.me,,,,,,
https://cbug.cc/,302,,Moved Temporarily,https://cbug.cc/cbug.html,,,,,,
https://db.tt/,302,,Found,https://www.dropbox.com/,,,,,,
https://dfl8.me/,302,,Found,http://dfl8.me/cgi-sys/suspendedpage.cgi,,,,,,
https://esp.to/,302,,Found,http://www.esponce.com/,,,,,,
https://flic.kr/,302,,Found,https://www.flickr.com/,,,,,,
https://flip.it/,302,,Found,https://flipboard.com/,,,,,,
https://flpbd.it/,302,,Found,https://flipboard.com/,,,,,,
https://goo.gl/,302,,Moved Temporarily,https://accounts.google.com/ServiceLogin?service=urlshortener&continue=https://goo.gl/?authed%3D1&followup=https://goo.gl/?authed%3D1&passive=true&go=true,,,,,,
https://icit.fr/,302,,Found,http://www.xooit.com/app/forum-inexistant.php?lang=fr&forum=icit.fr&uri=%2F&time=1539337738,,,,,,
https://kasman1223gg.com/,302,,Found,http://google.com/,,,,,,
https://krunchd.com/,302,,Moved Temporarily,http://www.brixwork.com/,,,,,,
https://lihi.cc/,302,,Found,https://lihi.io/,,,,,,
https://linke.bid/,302,,Found,http://suspendeddomain.org/index.php?host=linke.bid,,,,,,
https://llk.dk/,302,,Found,http://llk.dk/,,,,,,
https://lnk.gd/,302,,Found,https://t2mio.com/,,,,,,
https://lt.tl/,302,,Found,http://urls.li/,,,,,,
https://m3mi.com/,302,,Moved Temporarily,https://m3mi.com/404.html,,,,,,
https://mdl29.net/,302,,Found,https://www.mdl29.net/,,,,,,
https://minilien.com/,302,,Moved Temporarily,http://imp.ovh.net/,,,,,,
https://mysp.ac/,302,,Moved Temporarily,https://myspace.com/404,,,,,,
https://myurl.in/Z6Z.htm,302,,Found,http://www.ahcasino.com/,,,,,,
https://nq.st/,302,,Found,https://nq.st/auth/login,,,,,,
https://oma.io/,302,,Found,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=oma.io,,,,,,
https://relink.fr/,302,,Moved Temporarily,http://www.relink.fr/,,,,,,
https://shortcm.li/,302,,Found,https://short.cm/,,,,,,
https://splt.cc/,302,,Moved Temporarily,http://www.splitterhq.com/,,,,,,
https://t2m.io/,302,,Found,https://t2mio.com/,,,,,,
https://tohle.de/,302,,Moved Temporarily,http://tohle.de/,,,,,,
https://tpmr.com/,302,,Moved Temporarily,https://tpmr.com/r/,,,,,,
https://trck.me/,302,,Found,https://dash.trck.me/?ref=timtech,,,,,,
https://uqr.to/,302,,Found,https://uqr.me/,,,,,,
https://ur1.ca/,302,,,https://ur1.ca/login.action?os_destination=%2Findex.action&permissionViolation=true,,,,,,
https://vgn.me/,302,,Moved Temporarily,http://imp.ovh.net/,,,,,,
https://wed.li/,302,,Found,https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=wed.li,,,,,,
https://wp.me/,302,,Moved Temporarily,https://wordpress.com/,,,,,,
https://www.utm.io/,302,,Found,https://web.utm.io//,,,,,,
https://x.co/,302,,Found,https://shortener.godaddy.com/,,,,,,
https://y2u.be/,302,,Found,http://www.music-mdata.com/,,,,,,
https://youtu.be/,302,,Found,https://www.youtube.com/?feature=youtu.be,,,,,,
https://zi.pe/,302,,Found,http://qh.is/,,,,,,
https://zipansion.com/,302,,Found,http://adf.ly/,,,,,,
https://pxlme.me/,307,,Temporary Redirect,http://pixelme.me/,,,,,,
https://foe.hn/gui/,401,,Unauthorized,,,,,,,
http://tohle.de/,403,,Forbidden,,,,,,,
https://any.gs/,403,,Forbidden,,,,,,,
https://dopice.sk/,403,,Forbidden,,,,,,,
https://oua.be/,403,,Forbidden,,,,,,,
https://qqc.co/,403,,Forbidden,,,,,,,
https://shar.as/,403,,Forbidden,,,,,,,
https://skroc.pl/,403,,Forbidden,,,,,,,
https://tin.li/,403,,Forbidden,,,,,,,
https://tinyarro.ws/,403,,Forbidden,,,,,,,
https://xoe.cz/,403,,Forbidden,,,,,,,
https://yep.it/,403,,Forbidden,,,,,,,
https://ctx.li/,404,,Not Found,,,,,,,
https://cut.sk/,404,,Not Found on Accelerator,,,,,,,
https://erw.cz/,404,,Not Found,,,,,,,
https://godaddy.co/,404,,Not Found on Accelerator,,,,,,,
https://grin.to/,404,,File Not Found,,,,,,,
https://hurl.ws/,404,,Not Found,,,,,,,
https://inx.lv/,404,,Not Found,,,,,,,
https://j.gs/,404,,Not Found,,,,,,,
https://krat.si/,404,,Not Found,,,,,,,
https://kuc.cz/,404,,Not Found,,,,,,,
https://l-k.be/,404,,Not Found,,,,,,,
